start,end,length,mean_score,max_score
9729,9735,6,0.020652268081903458,0.04109860211610794
9945,9951,6,0.015142670832574368,0.030239170417189598
10240,10247,7,0.013383476063609123,0.03369917348027229
7747,7753,6,0.012890465557575226,0.023213163018226624
9738,9744,6,0.012509051710367203,0.02771257795393467
10167,10173,6,0.01241727638989687,0.04035643860697746
9681,9687,6,0.012292228639125824,0.028701506555080414
12498,12507,9,0.01227756030857563,0.01998814195394516
10031,10037,6,0.01164682861417532,0.023354031145572662
9596,9602,6,0.010384866036474705,0.02568887174129486
7538,7550,12,0.009867587126791477,0.022771939635276794
134,141,7,0.009771675802767277,0.017953336238861084
126,132,6,0.009649189189076424,0.014705484732985497
9661,9667,6,0.009608141146600246,0.018309595063328743
4507,4513,6,0.009527400135993958,0.022895947098731995
7691,7701,10,0.009503339417278767,0.02460426837205887
312,320,8,0.009180719032883644,0.016867607831954956
7781,7787,6,0.009163548238575459,0.016884908080101013
9753,9759,6,0.008874054066836834,0.018012981861829758
7725,7731,6,0.008872241713106632,0.014715714380145073
9991,9999,8,0.008671082556247711,0.01976979896426201
13253,13259,6,0.008657305501401424,0.019580014050006866
641,649,8,0.008490574546158314,0.012445315718650818
18429,18435,6,0.008427641354501247,0.0168081633746624
3220,3227,7,0.008091146126389503,0.020315062254667282
14750,14756,6,0.007837677374482155,0.013319442048668861
9157,9165,8,0.007800552062690258,0.015139265917241573
6579,6587,8,0.00775420805439353,0.012991482391953468
13285,13291,6,0.007750493939965963,0.015119511634111404
14691,14697,6,0.007667856756597757,0.010583368130028248
14867,14876,9,0.0075294324196875095,0.012240048497915268
7228,7235,7,0.007501410786062479,0.011475636623799801
9901,9907,6,0.0074720061384141445,0.014996025711297989
7809,7815,6,0.007331517990678549,0.010488107800483704
6044,6050,6,0.007048504892736673,0.013375828042626381
78,85,7,0.006929315626621246,0.012562762945890427
15885,15891,6,0.006901179905980825,0.017590554431080818
14163,14169,6,0.006899848580360413,0.011585780419409275
9914,9920,6,0.006899605039507151,0.01227402500808239
14757,14766,9,0.006883700378239155,0.014540368691086769
7210,7216,6,0.006793180014938116,0.010529330000281334
7574,7589,15,0.006724867038428783,0.013523885048925877
7267,7273,6,0.006669752765446901,0.01012727152556181
7492,7498,6,0.006578577682375908,0.013079460710287094
9187,9193,6,0.006545225623995066,0.014244653284549713
5054,5060,6,0.00649484945461154,0.009105524979531765
14136,14143,7,0.006447670515626669,0.010532132349908352
10005,10011,6,0.006382693070918322,0.009391135536134243
7202,7209,7,0.006296887993812561,0.010654198005795479
8716,8723,7,0.006147191859781742,0.012598048895597458
5981,5987,6,0.0061403680592775345,0.008685890585184097
19871,19877,6,0.006041752174496651,0.008652687072753906
7199,7206,7,0.006022309418767691,0.009624709375202656
17406,17412,6,0.006001273635774851,0.00979267805814743
192,205,13,0.005909571889787912,0.008607963100075722
5988,5994,6,0.005907105747610331,0.011353055946528912
9991,9998,7,0.005851848516613245,0.01387324370443821
9904,9910,6,0.005847011227160692,0.012308066710829735
6058,6066,8,0.0058129699900746346,0.011717318557202816
7756,7762,6,0.0057349056005477905,0.00813333597034216
14848,14856,8,0.005696222186088562,0.007969867438077927
1537,1546,9,0.00565754808485508,0.012046179734170437
1416,1423,7,0.005643318872898817,0.011194124817848206
3113,3121,8,0.005642719566822052,0.011308801360428333
2369,2380,11,0.005617590621113777,0.014292680658400059
8484,8490,6,0.005554754752665758,0.008674838580191135
17263,17269,6,0.005544368177652359,0.006956206168979406
7617,7626,9,0.005515852011740208,0.011481531895697117
291,297,6,0.005513811018317938,0.007243037689477205
7527,7534,7,0.0054926564916968346,0.007306795101612806
204,210,6,0.005461061839014292,0.007132410071790218
12383,12389,6,0.005438007414340973,0.011841971427202225
12207,12213,6,0.005359318573027849,0.01052847970277071
17359,17366,7,0.005334067158401012,0.00910301972180605
12655,12662,7,0.005310669541358948,0.009669498540461063
19802,19809,7,0.005300282500684261,0.008094212040305138
1294,1301,7,0.005295677576214075,0.010410905815660954
285,292,7,0.0052901278249919415,0.009099719114601612
14742,14749,7,0.005277291871607304,0.012069733813405037
10299,10305,6,0.00526781240478158,0.008514302782714367
265,273,8,0.005230430513620377,0.006590831093490124
17399,17405,6,0.005223212763667107,0.00721826683729887
11058,11065,7,0.00521822227165103,0.008386659435927868
13165,13171,6,0.005177347455173731,0.007077203132212162
613,619,6,0.005127487704157829,0.00722846481949091
10085,10091,6,0.005124100483953953,0.008643570356070995
6905,6911,6,0.005120968446135521,0.007277360185980797
246,252,6,0.005108834244310856,0.008572174236178398
5973,5980,7,0.005108617711812258,0.007289806380867958
19957,19967,10,0.005108265671879053,0.012860797345638275
159,165,6,0.005079872906208038,0.009684509597718716
14366,14372,6,0.005076043773442507,0.008041340857744217
295,301,6,0.005075060762465,0.008160872384905815
9997,10003,6,0.005052454769611359,0.007803218439221382
108,116,8,0.005016599781811237,0.009791617281734943
309,316,7,0.004995536524802446,0.009611737914383411
237,244,7,0.0049843015149235725,0.008714836090803146
6228,6234,6,0.004983462858945131,0.008103427477180958
3846,3853,7,0.004939116537570953,0.006744895596057177
5079,5086,7,0.004923825617879629,0.007112917490303516
